source,domain,field,trusted
True Pop,truepop.net,Entertainment and Culture,True
Open Arts,openarts.info,Entertainment and Culture,True
Star Culture,starculture.com,Entertainment and Culture,True
Clear Arts,cleararts.org,Entertainment and Culture,True
Hope Pop,hopepop.net,Entertainment and Culture,True
Advance Arts,advancearts.com,Entertainment and Culture,True
Pure Culture,pureculture.org,Entertainment and Culture,True
Bold Arts,boldarts.net,Entertainment and Culture,True
Verify News,verifynews.com,Fact-Checking,True
Fact Pulse,factpulse.org,Fact-Checking,True
Truth News,truthnews.info,Fact-Checking,True
Check Post,checkpost.net,Fact-Checking,True
Core Fact,corefact.com,Fact-Checking,True
Insight Check,insightcheck.org,Fact-Checking,True
True Verify,trueverify.net,Fact-Checking,True
Open Fact,openfact.info,Fact-Checking,True
Star Check,starcheck.com,Fact-Checking,True
Clear Fact,clearfact.org,Fact-Checking,True
Asia News,asianews.net,Regional (Asia),True
Europe Post,europepost.com,Regional (Europe),True
Africa News,africanews.org,Regional (Africa),True
Oceania Times,oceaniatimes.info,Regional (Oceania),True
Americas News,americasnews.net,Regional (North America),True
Middle East Post,middleeastpost.com,Regional (Middle East),True
Latin Times,latintimes.org,Regional (Latin America),True
Pacific News,pacificnews.info,Regional (Oceania),True
Globe Hoax,globehoax.com,General News,False
Fake Pulse,fakepulse.net,General News,False
Myth Post,mythpost.info,,False
Lie News,lienews.org,General News,False
Hype Scoop,hypescoop.net,General News,False
False Report,falsereport.info,,False
Rumor News,rumornews.org,General News,False
Hoax Post,hoaxpost.net,General News,False
Gossip Leak,gossipleak.info,,False
Wild Scoop,wildscoop.org,General News,False
Fake Flash,fakeflash.com,General News,False
Myth Leak,mythleak.net,General News,False
Lie Scoop,liescoop.info,,False
Scam Pulse,scampulse.org,General News,False
Hype Post,hypepost.com,General News,False
False Scoop,falsescoop.net,General News,False
Rumor Leak,rumorleak.info,,False
Spin Scoop,spinscoop.org,General News,False
Hoax News,hoaxnews.com,General News,False
Gossip Scoop,gossipscoop.net,General News,False
Wild Post,wildpost.info,,False
Fake Leak,fakeleak.org,General News,False
Myth Scoop,mythscoop.com,General News,False
Lie Post,liespost.net,General News,False
Scam Leak,scamleak.info,,False
Hype News,hypenews.org,General News,False
False Post,falsepost.com,General News,False
Rumor Scoop,rumorscoop.net,General News,False
Spin Leak,spinleak.info,,False
Hoax Scoop,hoaxscoop.org,General News,False
Gossip Post,gossippost.com,General News,False
Wild Leak,wildleak.net,General News,False
Fake Scoop,fakescoop.info,,False
Lie Leak,lieleak.com,General News,False
Scam Scoop,scamscoop.net,General News,False
Hype Leak,hypeleak.info,,False
False Leak,falseleak.org,General News,False
Rumor Post,rumorpost.com,General News,False
Spin Post,spinpost.net,General News,False
Hoax Leak,hoaxleak.info,,False
Fake Post,fakepost.net,General News,False
Scam Post,scampost.com,General News,False
Plot Post,plotpost.com,Politics and International Affairs,False
Conspiracy Scoop,conspiracyscoop.net,Politics and International Affairs,False
False State,falsestate.info,,False
Joke Post,jokepost.com,Entertainment and Culture,False
Satire News,satirenews.net,Entertainment and Culture,False
Gag Scoop,gagscoop.info,,False
Mock News,mocknews.org,Entertainment and Culture,False
Parody Leak,parodyleak.com,Entertainment and Culture,False
Fun Post,funpost.net,Entertainment and Culture,False
Spoof Scoop,spoofscoop.org,Entertainment and Culture,False
Wit News,witnews.com,Entertainment and Culture,False
Laugh Post,laughpost.net,Entertainment and Culture,False
Gossip Pop,gossippop.info,,False
Cure Hoax,curehoax.com,Health and Medicine,False
Health Lie,healthlie.net,Health and Medicine,False
Myth Med,mythmed.info,,False
Hype Med,hypemed.net,Health and Medicine,False
Fake Cure,fakecure.info,,False
Rumor Health,rumorhealth.org,Health and Medicine,False
Spin Care,spincare.com,Health and Medicine,False
Hoax Wellness,hoaxwellness.net,Health and Medicine,False
Gossip Med,gossipmed.info,,False
Wild Cure,wildcure.org,Health and Medicine,False
Fake Wellness,fakewellness.com,Health and Medicine,False
Myth Care,mythcare.net,Health and Medicine,False
Lie Health,liehealth.info,,False
Scam Med,scammed.org,Health and Medicine,False
Hype Care,hypecare.com,Health and Medicine,False
False Med,falsemed.net,Health and Medicine,False
Wealth Hoax,wealthhoax.net,Business and Finance,False
Myth Trade,mythtrade.info,,False
Scam Market,scammarket.org,Business and Finance,False
False Profit,falseprofit.com,Business and Finance,False
Hype Trade,hypetrade.net,Business and Finance,False
Fake Wealth,fakewealth.info,,False
Rumor Market,rumormarket.org,Business and Finance,False
Spin Profit,spinprofit.com,Business and Finance,False
Hoax Trade,hoaxtrade.net,Business and Finance,False
Green Lie,greenlie.com,Environment and Climate,False
Eco Hoax,ecohoax.net,Environment and Climate,False
False Planet,falseplanet.info,,False
Myth Green,mythgreen.org,Environment and Climate,False
Scam Eco,scameco.com,Environment and Climate,False
Hype Planet,hypeplanet.net,Environment and Climate,False
Fake Green,fakegreen.info,,False
Rumor Eco,rumoreco.org,Environment and Climate,False
Spin Planet,spinplanet.com,Environment and Climate,False
Hoax Green,hoaxgreen.net,Environment and Climate,False
Myth Beacon,mythbeacon.com,General News,False
Scam Chronicle,scamchronicle.net,General News,False
Hype Dispatch,hypedispatch.info,,False
False Wave,falsewave.org,General News,False
Rumor Blitz,rumorblitz.com,General News,False
Spin Vortex,spinvortex.net,General News,False
Hoax Flash,hoaxflash.info,,False
Gossip Surge,gossipsurge.org,General News,False
Wild Claim,wildclaim.com,General News,False
Fake Surge,fakesurge.net,General News,False
Lie Beacon,liebeacon.info,,False
Myth Surge,mythsurge.org,General News,False
Scam Wave,scamwave.com,General News,False
Hype Blitz,hypeblitz.net,General News,False
False Flash,falseflash.info,,False
Rumor Wave,rumorwave.org,General News,False
Spin Flash,spinflash.com,General News,False
Hoax Surge,hoaxsurge.net,General News,False
Gossip Flash,gossipflash.info,,False
Wild Surge,wildsurge.org,General News,False
Fake Blitz,fakeblitz.com,General News,False
Myth Flash,mythflash.net,General News,False
Lie Surge,liesurge.info,,False
Scam Flash,scamflash.org,General News,False
Hype Surge,hypesurge.com,General News,False
False Surge,falsesurge.net,General News,False
Rumor Flash,rumorflash.info,,False
Spin Surge,spinsurge.org,General News,False
Hoax Blitz,hoaxblitz.com,General News,False
Wild Flash,wildflash.info,,False
Lie Flash,lieflash.net,General News,False
Scam Surge,scam-surge.info,,False
Hype Flash,hype-flash.org,General News,False
False Blitz,false-blitz.com,General News,False
Rumor Surge,rumor-surge.net,General News,False
Spin Blitz,spin-blitz.info,,False
Hoax Flash,hoax-flash.org,General News,False
Gossip Blitz,gossip-blitz.com,General News,False
Fake Surge,fake-surge.info,,False
Myth Blitz,myth-blitz.org,General News,False
Lie Surge,lie-surge.com,General News,False
Scam Blitz,scam-blitz.net,General News,False
Hype Surge,hype-surge.info,,False
Hoax Surge,hoax-surge.info,,False
Gossip Flash,gossip-flash.org,General News,False
Wild Blitz,wild-blitz.com,General News,False
Myth Surge,mythsurge.info,,False
Lie Blitz,lie-blitz.org,General News,False
Gossip Surge,gossipsurge.info,,False
Wild Flash,wild-flash.org,General News,False
Myth Flash,mythflash.info,,False
Scam Surge,scamsurge.com,General News,False
False Surge,falsesurge.info,,False
Rumor Flash,rumorflash.org,General News,False
Gossip Blitz,gossipblitz.info,,False
False Blitz,falseblitz.info,,False
Spin Blitz,spinblitz.com,General News,False
Wild Blitz,wildblitz.info,,False
Scam Flash,scamflash.info,,False
False Flash,falseflash.net,General News,False
Rumor Blitz,rumorblitz.info,,False
Plot Beacon,plotbeacon.com,Politics and International Affairs,False
Conspiracy Wave,conspiracywave.net,Politics and International Affairs,False
False Regime,falseregime.info,,False
Lie Plot,lieplot.org,Politics and International Affairs,False
Scam Regime,scamregime.com,Politics and International Affairs,False
Hype Plot,hypeplot.net,Politics and International Affairs,False
Fake Regime,fakeregime.info,,False
Myth Plot,mythplot.org,Politics and International Affairs,False
Rumor Regime,rumorregime.com	False,,
Spin Plot,spinplot.com,Politics and International Affairs,False
Hoax Regime,hoaxregime.net,Politics and International Affairs,False
Gossip Plot,gossipplot.info,,False
Wild Regime,wildregime.org,Politics and International Affairs,False
Fake Plot,fakeplot.com,Politics and International Affairs,False
Myth Regime,mythregime.net,Politics and International Affairs,False
Lie Plot,lie-plot.info,,False
Scam Plot,scamplot.org,Politics and International Affairs,False
Hype Regime,hyperegime.com,Politics and International Affairs,False
False Plot,falseplot.net,Politics and International Affairs,False
Rumor Plot,rumorplot.info,,False
Spin Regime,spinregime.org,Politics and International Affairs,False
Hoax Plot,hoaxplot.com,Politics and International Affairs,False
Gossip Regime,gossipregime.net,Politics and International Affairs,False
Wild Plot,wildplot.info,,False
Fake Regime,fake-regime.org,Politics and International Affairs,False
Lie Regime,lie-regime.net,Politics and International Affairs,False
Scam Regime,scam-regime.info,,False
False Regime,false-regime.com,Politics and International Affairs,False
Rumor Regime,rumor-regime.net,Politics and International Affairs,False
Spin Plot,spin-plot.info,,False
Gossip Plot,gossip-plot.com,Politics and International Affairs,False
Fake Plot,fake-plot.info,,False
Satire Wave,satirewave.com,Entertainment and Culture,False
Gag Chronicle,gagchronicle.net,Entertainment and Culture,False
Mock Flash,mockflash.info,,False
Parody Surge,parodysurge.org,Entertainment and Culture,False
Fun Blitz,funblitz.com,Entertainment and Culture,False
Hoax Jest,hoaxjest.net,Entertainment and Culture,False
Spoof Flash,spoofflash.info,,False
Wit Surge,witsurge.org,Entertainment and Culture,False
Laugh Blitz,laughblitz.com,Entertainment and Culture,False
Fake Jest,fakejest.net,Entertainment and Culture,False
Myth Jest,mythjest.info,,False
Lie Satire,liesatire.org,Entertainment and Culture,False
Scam Jest,scamjest.com,Entertainment and Culture,False
Hype Sat18:37:23 -0600Hype Satire,hypesatire.net,Entertainment and Culture,False
False Jest,falsejest.org,Entertainment and Culture,False
Rumor Satire,rumorsatire.com,Entertainment and Culture,False
Spin Jest,spinjest.net,Entertainment and Culture,False
Hoax Satire,hoaxsatire.info,,False
Gossip Jest,gossipjest.org,Entertainment and Culture,False
Wild Satire,wildsatire.com,Entertainment and Culture,False
Fake Satire,fake-satire.net,Entertainment and Culture,False
Myth Satire,myth-satire.info,,False
Lie Jest,lie-jest.org,Entertainment and Culture,False
Scam Satire,scam-satire.com,Entertainment and Culture,False
Hype Jest,hype-jest.net,Entertainment and Culture,False
False Satire,false-satire.info,,False
Rumor Jest,rumor-jest.org,Entertainment and Culture,False
Spin Satire,spin-satire.com,Entertainment and Culture,False
Gossip Satire,gossip-satire.info,,False
Wild Jest,wildjest.org,Entertainment and Culture,False
Myth Jest,myth-jest.net,Entertainment and Culture,False
Lie Satire,lie-satire.info,,False
Hype Satire,hype-satire.com,Entertainment and Culture,False
False Satire,false-satire.net,Entertainment and Culture,False
Health Flash,healthflash.com,Health and Medicine,False
Care Surge,caresurge.net,Health and Medicine,False
Myth Cure,mythcure.info,,False
Scam Wellness,scamwellness.org,Health and Medicine,False
False Cure,falsecure.com,Health and Medicine,False
Hype Wellness,hypewellness.info,,False
Rumor Cure,rumorcure.com,Health and Medicine,False
Hoax Cure,hoaxcure.info,,False
Gossip Cure,gossipcure.org,Health and Medicine,False
Market Surge,marketsurge.com,Business and Finance,False
Profit Flash,profitflash.net,Business and Finance,False
Myth Profit,mythprofit.info,,False
Eco Blitz,ecoblitz.com,Environment and Climate,False
Green Surge,greensurge.net,Environment and Climate,False
Myth Eco,mytheco.info,,False
False Pulse,falsepulse.com,General News,False
Hoax Pulse,hoaxpulse.net,General News,False
Scam Herald,scam-herald.info,,False
Myth Pulse,mythpulse.org,General News,False
Lie Wave,liewave.com,General News,False
Rumor Pulse,rumorpulse.net,General News,False
Spin Herald,spin-herald.info,,False
Gossip Pulse,gossippulse.org,General News,False
Wild Pulse,wildpulse.com,General News,False
Fake Herald,fake-herald.net,General News,False
False Herald,false-herald.info,,False
Hoax Wave,hoaxwave.org,General News,False
Scam Pulse,scampulse.com,General News,False
Myth Wave,mythwave.net,General News,False
Lie Pulse,liepulse.info,,False
Rumor Herald,rumor-herald.org,General News,False
Spin Pulse,spinpulse.com,General News,False
Gossip Wave,gossipwave.net,General News,False
Wild Herald,wild-herald.org,General News,False
Fake Pulse,fakepulse.info,,False
False Wave,false-wave.com,General News,False
Hoax Herald,hoax-herald.net,General News,False
Scam Wave,scam-wave.info,,False
Myth Herald,myth-herald.com,General News,False
Lie Herald,lie-herald.net,General News,False
Rumor Wave,rumor-wave.info,,False
Spin Wave,spin-wave.org,General News,False
Gossip Herald,gossip-herald.net,General News,False
Wild Wave,wild-wave.com,General News,False
Fake Wave,fake-wave.net,General News,False
False Surge,falsesurge.com,General News,False
Hoax Surge,hoaxsurge.org,General News,False
Scam Surge,scamsurge.info,,False
Myth Surge,mythsurge.net,General News,False
Lie Surge,liesurge.com,General News,False
Rumor Surge,rumorsurge.info,,False
Spin Surge,spinsurge.net,General News,False
Wild Surge,wildsurge.info,,False
Fake Surge,fakesurge.com,General News,False
False Blitz,falseblitz.net,General News,False
Hoax Blitz,hoaxblitz.info,,False
Scam Blitz,scamblitz.org,General News,False
Myth Blitz,mythblitz.com,General News,False
Lie Blitz,lieblitz.net,General News,False
Rumor Blitz,rumorblitz.org,General News,False
Spin Blitz,spinblitz.info,,False
Gossip Blitz,gossipblitz.net,General News,False
Wild Blitz,wildblitz.org,General News,False
Fake Blitz,fakeblitz.info,,False
Plot Pulse,plotpulse.com,Politics and International Affairs,False
Conspiracy Herald,conspiracy-herald.net,Politics and International Affairs,False
False State,falsestate.org,,False
Lie Regime,lieregime.info,,False
Scam State,scamstate.net,Politics and International Affairs,False
Fake State,fakestate.com,Politics and International Affairs,False
Myth State,mythstate.net,Politics and International Affairs,False
Rumor State,rumorstate.info,,False
Spin State,spinstate.org,Politics and International Affairs,False
Hoax State,hoaxstate.com,Politics and International Affairs,False
Wild State,wildstate.org,Politics and International Affairs,False
Fake Regime,fakeregime.net,Politics and International Affairs,False
False Regime,falseregime.com,Politics and International Affairs,False
Hoax Regime,hoaxregime.info,,False
Scam Regime,scamregime.org,Politics and International Affairs,False
Myth Regime,mythregime.com,Politics and International Affairs,False
Lie State,liestate.net,Politics and International Affairs,False
Rumor Regime,rumorregime.org,Politics and International Affairs,False
Satire Pulse,satirepulse.com,Entertainment and Culture,False
Gag Pulse,gagpulse.net,Entertainment and Culture,False
Mock Herald,mockherald.info,,False
Parody Wave,parodywave.org,Entertainment and Culture,False
Fun Surge,funsurge.com,Entertainment and Culture,False
Spoof Pulse,spoofpulse.info,,False
Wit Wave,witwave.org,Entertainment and Culture,False
Laugh Surge,laughsurge.com,Entertainment and Culture,False
Fake Jest,fakejest.org,Entertainment and Culture,False
Myth Jest,mythjest.net,Entertainment and Culture,False
Lie Satire,liesatire.com,Entertainment and Culture,False
Scam Jest,scamjest.net,Entertainment and Culture,False
Hype Satire,hypesatire.org,Entertainment and Culture,False
False Jest,falsejest.com,Entertainment and Culture,False
Rumor Satire,rumorsatire.net,Entertainment and Culture,False
Spin Jest,spinjest.org,Entertainment and Culture,False
Hoax Satire,hoaxsatire.com,Entertainment and Culture,False
Gossip Jest,gossipjest.net,Entertainment and Culture,False
Wild Satire,wildsatire.org,Entertainment and Culture,False
Health Surge,healthsurge.com,Health and Medicine,False
Care Blitz,careblitz.net,Health and Medicine,False
Myth Wellness,mythwellness.org,,False
Scam Cure,scamcure.info,,False
False Wellness,falsewellness.com,Health and Medicine,False
Hype Cure,hypecure.net,Health and Medicine,False
Market Blitz,marketblitz.com,Business and Finance,False
Profit Surge,profitsurge.net,Business and Finance,False
Eco Surge,ecosurge.com,Environment and Climate,False
Green Blitz,greenblitz.net,Environment and Climate,False
Global Herald,globalherald.com,General News,True
Unity Dispatch,unitydispatch.org,General News,True
World Beacon,worldbeacon.net,General News,True
Clear Scope,clearscope.info,General News,True
Daily Herald,dailyherald.com,General News,True
Nova Dispatch,novadispatch.net,General News,True
Bright Beacon,brightbeacon.info,General News,True
Tech Herald,techherald.com,Science and Technology,True
Future Scope,futurescope.org,Science and Technology,True
Inno Dispatch,innodispatch.net,Science and Technology,True
Science Beacon,sciencebeacon.info,Science and Technology,True
Market Scope,marketscope.com,Business and Finance,True
Finance Herald,financeherald.org,Business and Finance,True
Trade Beacon,tradebeacon.net,Business and Finance,True
Health Scope,healthscope.com,Health and Medicine,True
Care Dispatch,caredispatch.org,Health and Medicine,True
Policy Scope,policyscope.com,Politics and International Affairs,True
Eco Dispatch,ecodispatch.org,Environment and Climate,True
Edu Beacon,edubeacon.com,Education,True
